SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
M0010,Base Million Pauline Esencia de caracol SPF 25+, 45.00,132.0, 38.00,VB,Active,2025-09-01,Maquillaje,Base de maquillaje,12
LS115,Balsamo Para Labios Magic Taza gatito, 15.00,624.0, 12.00,VB,Active,2028-07-01,Maquillaje,Labios,24
LS116,Balsamo Para Labios Magic refresco, 15.00,2136.0, 12.00,VB,Active,2028-07-01,Maquillaje,Labios,24
M23-27,Polvo Compacto y corrector Million Pauline Mate, 53.00,0.0, 45.00,VB,Inactive,2027-04-01,Maquillaje,Polvo compacto,12
M22-51,Polvo Compacto Doble Million Pauline tono claro, 53.00,81.0, 45.00,VB,Active,2026-01-01,Maquillaje,Polvo compacto,12
M23-36,Mascara Million Pauline Refresca y revive, 29.00,1219.0, 24.00,VB,Active,2026-05-01,Maquillaje,Mascara,12
M22-81,Mascara Million Pauline Ma XXL, 29.00,1224.0, 24.00,VB,Active,2026-04-01,Maquillaje,Mascara,12
MB-023,Lapiz para cejas, 21.00,144.0, 18.00,VB,Inactive,2026-01-01,Maquillaje,Delineador,12
OLU973-3,Perfume niña candy sweet azul, 43.00,0.0, 36.00,VB,Inactive,,Cuidado personal,Perfumes,16
OLU988-1,Perfume niña science, 43.00,0.0, 36.00,VB,Inactive,,Cuidado personal,Perfumes,12
P004,Primer baby skin Maybelline borrador de poros, 18.00,3792.0, 14.00,VB,Active,2026-01-01,Maquillaje,Primers de maquillaje,24
P003,Primer base Mate Infalible Lorel, 18.00,3324.0, 14.00,VB,Active,2026-01-01,Maquillaje,Primers de maquillaje,12
DL-313,Shampoo Tinte Negro Dr Lana, 177.00,5.0, 150.00,VB,Inactive,,Cuidado personal,Shampoo capilar,12
RE-2004,Secadora De Cabello Remlngton 5000w, 271.00,10.0, 230.00,VB,Active,2029-01-26,Maquillaje,Secadora de cabello,6
RE-2038,Secadora De Cabello Reddenton 3000w, 306.00,15.0, 260.00,VB,Active,2029-01-26,Maquillaje,Secadora de cabello,3
